Ranking	Name	Affiliation	Google Scholar	Book Points	Highest Amazon	Syllabus Points	Newspaper Mentions	Education Press	Web Mentions	Congressional Record	Twitter	Total	Twitter Handle
1	Carol Dweck	Stanford	50	4	20	10	27	27	25	0	0	163	
2	Linda Darling-Hammond	Stanford	50	20	16	9	16	20	25	0	6.5	162.5	LDH_ed
3	Howard Gardner	Harvard	50	20	16.4	10	10	7	25	0	5.6	144	DrHowardGardner
4	Jo Boaler	Stanford	45	20	19.6	10	4	12	25	0	7.3	142.9	joboaler
5	Raj Chetty	Harvard	49	0.5	0	2.3	30	28	25	5	0	139.8	
6	Diane Ravitch	NYU	48	20	14.9	10	5	10	23.9	0	7.8	139.6	DianeRavitch
7	Pedro Noguera	UCLA	43	10	9.8	2.6	30	12	22	0	6.4	135.8	PedroANoguera
8	Gloria Ladson-Billings	U. Wisconsin-Madison	50	19	15.4	10	4	18	12.9	0	5.1	134.4	gjladson
9	Sara Goldrick-Rab	Temple	30	3	12.6	0.3	30	24	25	0	7.8	132.7	saragoldrickrab
10	Angela Duckworth	U. Penn	50	2	19.9	3.1	21	5	25	0	6.4	132.4	angeladuckw
11	Richard Rothstein	UC Berkeley	40	13	19.9	3.9	24	1	25	0	0	126.8	
12	Carol A. Tomlinson	U. Virginia	50	20	18.2	10	0	14	4.8	0	3.4	120.4	cat3y
13	Eric (Rick) A. Hanushek	Stanford	50	13.5	0	5.2	10	14	25	0	1	118.7	EricHanushek
14	Daniel Willingham	U. Virginia	50	11	17.3	8.6	7	8	8.8	0	6.9	117.6	DTWillingham
15	Gary Orfield	UCLA	50	20	0	1.7	17	0	17.2	0	4.2	110	orfieldtweet
16	Sam Wineburg	Stanford	48	6	17.6	10	9	5	7.8	0	5.9	109.3	samwineburg
17	Andy Hargreaves	Boston College	50	18.5	9.3	4.4	0	4	16	0	6.2	108.3	HargreavesBC
18 (tie)	Robert E. Slavin	Johns Hopkins	50	20	10	10	3	1	8.4	0	4.3	106.7	RobertSlavin
18 (tie)	David L. Kirp	UC Berkeley	34	19.5	14.1	1.9	19	2	12.5	0	3.7	106.7	DavidKirp
20	Yong Zhao	U. Kansas	50	20	12.3	1.8	0	5	8.4	0	5.8	103.4	YongZhaoEd
21	Claude Steele	Stanford	50	2	18.7	9.2	9	2	11.7	0	0.1	102.8	cmasonsteele
22	Shaun R. Harper	USC	50	8	7.5	4	5	12	10.9	0	5.2	102.7	DrShaunHarper
23	Larry Cuban	Stanford	50	20	12.5	4.7	0	6	4.7	0	4	102	CubanLarry
24	Marc Lamont Hill	Temple	16	9	10.7	0.5	30	1	25	0	9	101.2	marclamonthill
25	Rich Milner	Vanderbilt	48	8	15.8	1.4	3	14	4.2	0	5.7	100.1	MilnerHRich
26	Josh Angrist	MIT	50	1	17.9	1.6	1	0	23.8	0	4.6	99.9	metrics52
27	Nel Noddings	Stanford	50	20	7.4	10	1	0	8.8	0	0	97.2	
28	William (Bill) G. Tierney	USC	50	20	0	0.9	13	2	9.3	0	1.8	96.9	TierneyBill
29	David C. Berliner	Arizona State	50	11.5	9.3	4.3	2	6	12.1	0	0.9	96.2	DavidCBerliner
30	Bruce D. Baker	Rutgers	36	6	0	0.4	26	4	16.5	0	6.9	95.8	SchlFinance101
31	Rob Reich	Stanford	24	6	16.9	0.4	23	1	18.3	0	6	95.7	robreich
32	Terry M. Moe	Stanford	50	15	9.3	8.8	3	2	7.2	0	0	95.3	
33	Paul E. Peterson	Harvard	50	20	0	6.2	4	2	12.1	0	0.5	94.8	Paul_E_Peterson
34	Robert Kelchen	Seton Hall	14	2	0	0	30	30	11.9	0	6.2	94.1	rkelchen
35	Robert (Bob) C. Pianta	U. Virginia	50	9.5	4.1	6.5	3	0	20.6	0	0.1	93.9	bobpianta
36	Richard (Dick) Elmore	Harvard	50	17.5	12.4	2.9	0	8	2.8	0	0.1	93.7	RichardElmore3
37	Henry (Hank) Levin	Columbia (TC)	50	20	10.1	2.6	1	0	4.3	5	0	93	
38	Catherine Snow	Harvard	50	20	0	9.4	5	0	8.5	0	0	92.9	
39	Richard (Dick) J. Murnane	Harvard	50	6.5	15	3.3	0	2	9.8	5	0	91.6	
40	Caroline M. Hoxby	Stanford	50	0	0	2.7	16	9	12.8	0	0	90.5	
41	Greg J. Duncan	UC Irvine	50	7	6	3.3	5	0	16.5	0	0	87.8	
42	Sarah E. Turner	U. Virginia	36	1.5	0	0.2	9	13	25	0	1.1	85.8	turnersarahe
43	Jeannie Oakes	UCLA	50	10.5	9.1	8.6	0	2	4.6	0	0.8	85.6	Jeannie_Oakes
44	Gene V. Glass	Arizona State	50	14.5	1.5	4.4	0	2	10.5	0	2.2	85.1	GeneVGlass
